Brand,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),fuel efficiency,Serial Number
TOYOTA,Tacoma 4WD,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,11.4,12.7,22.0,299.0,0.04247491575005063,7355
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8,A8,Z,16.3,11.0,13.9,20.0,326.0,0.04263803563966342,901
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20.0,326.0,0.04263803563966342,2506
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20.0,326.0,0.04263803563966342,2509
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS6,E,22.2,16.5,19.6,14.0,326.0,0.060122700556655605,3679
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,15.8,11.5,13.8,20.0,326.0,0.04233128892863455,4162
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,15.8,11.5,13.9,20.0,326.0,0.04263803563966342,5232
CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,13.3,10.6,12.1,23.0,326.0,0.03711656558733045,5626
CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20.0,326.0,0.04263803563966342,5653
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,15.6,11.8,13.9,20.0,326.0,0.04263803563966342,5769
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,15.7,11.8,13.9,20.0,326.0,0.04263803563966342,5787
GMC,Sierra,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20.0,326.0,0.04263803563966342,5849
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15.5,11.9,13.9,20.0,326.0,0.04263803563966342,5860
NISSAN,Frontier 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,15.8,11.5,13.9,20.0,326.0,0.04263803563966342,6276
CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,13.3,10.6,12.1,23.0,326.0,0.03711656558733045,6692
CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20.0,326.0,0.04263803563966342,6706
CHEVROLET,Silverado FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.2,16.2,19.5,14.0,326.0,0.0598159509202454,6708
GMC,Sierra,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20.0,326.0,0.04263803563966342,6869
GMC,Sierra FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,22.2,16.2,19.5,14.0,326.0,0.0598159509202454,6871
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15.5,11.9,13.9,20.0,326.0,0.04263803563966342,6886
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A8,Z,16.0,11.2,13.9,20.0,325.0,0.04276922959547776,2393
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20.0,325.0,0.04276922959547776,3590
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20.0,325.0,0.04276922959547776,3594
CHEVROLET,TAHOE 4WD,SUV - STANDARD,6.2,8,A10,Z,16.4,10.7,13.8,20.0,325.0,0.042461539048414966,4628
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20.0,325.0,0.04276922959547776,4646
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20.0,325.0,0.04276922959547776,4652
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,E,21.4,17.2,19.5,14.0,325.0,0.06,4760
GMC,YUKON 4WD,SUV - STANDARD,6.2,8,A10,Z,16.4,10.7,13.8,20.0,325.0,0.042461539048414966,4846
CHEVROLET,Silverado LD 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.8,11.4,13.8,20.0,325.0,0.042461539048414966,5668
CHEVROLET,Tahoe 4WD,SUV - STANDARD,6.2,8,A10,Z,16.4,10.7,13.8,20.0,325.0,0.042461539048414966,5684
DODGE,Challenger,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20.0,325.0,0.04276922959547776,5701
GMC,Sierra LTD 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.8,11.4,13.8,20.0,325.0,0.042461539048414966,5863
GMC,Yukon 4WD,SUV - STANDARD,6.2,8,A10,Z,16.4,10.7,13.8,20.0,325.0,0.042461539048414966,5875
RAM,1500 4X4,PICKUP TRUCK - STANDARD,5.7,8,A8,X,16.1,11.0,13.8,20.0,325.0,0.042461539048414966,6382
CHEVROLET,Tahoe 4WD,SUV - STANDARD,5.3,8,A6,X,16.0,11.2,13.8,20.0,325.0,0.042461539048414966,6737
CHEVROLET,Tahoe 4WD FFV,SUV - STANDARD,5.3,8,A6,X,16.0,11.2,13.8,20.0,325.0,0.042461539048414966,6738
DODGE,Challenger,MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20.0,325.0,0.04276922959547776,6754
DODGE,Challenger Widebody (MDS),MID-SIZE,6.4,8,M6,Z,16.7,10.4,13.9,20.0,325.0,0.04276922959547776,6757
GMC,Sierra 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.8,16.8,19.5,14.0,325.0,0.06,6880
GMC,Yukon 4WD,SUV - STANDARD,5.3,8,A6,X,16.0,11.2,13.8,20.0,325.0,0.042461539048414966,6894
GMC,Yukon 4WD FFV,SUV - STANDARD,5.3,8,A6,X,16.0,11.2,13.8,20.0,325.0,0.042461539048414966,6895
RAM,1500 4X4,PICKUP TRUCK - STANDARD,5.7,8,A8,X,16.1,11.0,13.8,20.0,325.0,0.042461539048414966,7279
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.4,8.6,10.7,26.0,249.0,0.04297188678419733,2207
AUDI,A8 QUATTRO,MID-SIZE,4.0,8,AS8,Z,12.9,8.0,10.7,26.0,249.0,0.04297188678419733,2239
INFINITI,Q50 AWD,MID-SIZE,3.0,6,AS7,Z,12.3,8.5,10.6,27.0,249.0,0.04257028265650493,2760
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M7,Z,12.3,8.6,10.6,27.0,249.0,0.04257028265650493,3099
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,12.9,8.0,10.7,26.0,249.0,0.04297188678419733,3347
BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,12.4,8.4,10.6,27.0,249.0,0.04257028265650493,3407
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,12.4,8.4,10.6,27.0,249.0,0.04257028265650493,3408
BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6,AS8,D,10.3,8.0,9.3,30.0,249.0,0.037349398356364916,3445
CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,AS8,X,12.3,8.6,10.6,27.0,249.0,0.04257028265650493,3489
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,X,12.5,8.3,10.6,27.0,249.0,0.04257028265650493,3528
CHRYSLER,PACIFICA (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27.0,249.0,0.04257028265650493,3587
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17.6,11.7,15.0,19.0,249.0,0.060240963855421686,3724
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,A6,X,11.7,9.2,10.6,27.0,249.0,0.04257028265650493,3895
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,A6,X,11.7,9.2,10.6,27.0,249.0,0.04257028265650493,3909
PORSCHE,BOXSTER S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26.0,249.0,0.04297188678419733,4222
PORSCHE,CAYMAN S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26.0,249.0,0.04297188678419733,4232
VOLVO,XC90 T6 AWD,SUV - STANDARD,2.0,4,AS8,Z,11.5,9.6,10.6,27.0,249.0,0.04257028265650493,4371
BMW,M240i COUPE,SUBCOMPACT,3.0,6,M6,Z,12.5,8.4,10.7,26.0,249.0,0.04297188678419733,4480
CHRYSLER,PACIFICA (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27.0,249.0,0.04257028265650493,4643
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,11.9,9.0,10.6,27.0,249.0,0.04257028265650493,4714
FORD,TAURUS FFV,FULL-SIZE,3.5,6,AS6,E,17.6,11.7,15.0,19.0,249.0,0.060240963855421686,4795
PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.0,6,AM7,Z,11.8,9.2,10.6,27.0,249.0,0.04257028265650493,5267
PORSCHE,BOXSTER GTS,TWO-SEATER,2.5,4,AM7,Z,11.8,9.2,10.6,27.0,249.0,0.04257028265650493,5300
PORSCHE,BOXSTER S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26.0,249.0,0.04297188678419733,5303
PORSCHE,CAYMAN GTS,TWO-SEATER,2.5,4,AM7,Z,11.8,9.2,10.6,27.0,249.0,0.04257028265650493,5312
PORSCHE,CAYMAN S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26.0,249.0,0.04297188678419733,5315
PORSCHE,PANAMERA 4S ST,FULL-SIZE,2.9,6,AM8,Z,12.1,9.0,10.7,26.0,249.0,0.04297188678419733,5327
BUICK,Envision AWD,SUV - SMALL,2.0,4,A9,Z,11.7,9.4,10.7,26.0,249.0,0.04297188678419733,5583
CHRYSLER,Pacifica (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27.0,249.0,0.04257028265650493,5698
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.0,9.0,10.6,27.0,249.0,0.04257028265650493,5753
JEEP,Cherokee 4X4 Active Drive I,SUV - SMALL,3.2,6,A9,X,12.2,8.6,10.6,27.0,249.0,0.04257028265650493,5998
JEEP,Cherokee 4X4 Active Drive Lock,SUV - SMALL,2.0,4,A9,X,11.8,9.2,10.6,27.0,249.0,0.04257028265650493,6001
PORSCHE,911 Carrera GTS Cabriolet,MINICOMPACT,3.0,6,AM7,Z,11.8,9.2,10.7,26.0,249.0,0.04297188678419733,6311
PORSCHE,Boxster GTS,TWO-SEATER,2.5,4,AM7,Z,11.8,9.2,10.6,27.0,249.0,0.04257028265650493,6350
PORSCHE,Boxster S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26.0,249.0,0.04297188678419733,6353
PORSCHE,Cayman GTS,TWO-SEATER,2.5,4,AM7,Z,11.8,9.2,10.6,27.0,249.0,0.04257028265650493,6359
PORSCHE,Cayman S,TWO-SEATER,2.5,4,M6,Z,12.1,9.0,10.7,26.0,249.0,0.04297188678419733,6362
BMW,440i xDrive Cabriolet,SUBCOMPACT,3.0,6,AS8,Z,12.4,8.5,10.7,26.0,249.0,0.04297188678419733,6576
CHRYSLER,Pacifica (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27.0,249.0,0.04257028265650493,6748
CHRYSLER,Voyager (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27.0,249.0,0.04257028265650493,6749
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.0,8.9,10.6,27.0,249.0,0.04257028265650493,6794
JEEP,Cherokee 4X4 Active Drive I,SUV - SMALL,3.2,6,A9,X,12.2,8.6,10.6,27.0,249.0,0.04257028265650493,7007
JEEP,Cherokee 4X4 Active Drive Lock,SUV - SMALL,2.0,4,A9,X,11.8,9.2,10.6,27.0,249.0,0.04257028265650493,7010
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17.0,259.0,0.06254826549397473,207
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,E,18.9,12.9,16.2,17.0,259.0,0.06254826549397473,332
GMC,TERRAIN,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17.0,259.0,0.06254826549397473,466
DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,E,18.9,12.9,16.2,17.0,259.0,0.06254826549397473,1430
JEEP,COMPASS 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25.0,259.0,0.042857144329998945,2811
JEEP,PATRIOT 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25.0,259.0,0.042857144329998945,2822
KIA,SORENTO AWD,SUV - SMALL,2.0,4,AS6,X,12.3,9.3,10.9,26.0,259.0,0.042084940612086,2862
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6,AM7,Z,12.7,9.0,11.0,26.0,259.0,0.04247104247104247,3102
VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,M6,Z,13.0,9.0,11.2,25.0,259.0,0.0432432425068152,3284
VOLVO,S60 3.0T AWD,COMPACT,3.0,6,AS6,X,13.0,9.0,11.2,25.0,259.0,0.0432432425068152,3295
VOLVO,S60 POLESTAR,COMPACT,3.0,6,AS6,X,13.0,9.0,11.2,25.0,259.0,0.0432432425068152,3296
VOLVO,V60 3.0T AWD,STATION WAGON - SMALL,3.0,6,AS6,X,13.0,9.0,11.2,25.0,259.0,0.0432432425068152,3302
VOLVO,V60 POLESTAR,STATION WAGON - SMALL,3.0,6,AS6,X,13.0,9.0,11.2,25.0,259.0,0.0432432425068152,3303
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.6,9.0,11.0,26.0,259.0,0.04247104247104247,3315
AUDI,S5,SUBCOMPACT,3.0,6,AM7,Z,13.0,8.5,11.0,26.0,259.0,0.04247104247104247,3359
CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS8,X,12.8,8.8,11.0,26.0,259.0,0.04247104247104247,3474
FORD,MUSTANG,SUBCOMPACT,3.7,6,AS6,X,12.8,8.9,11.1,25.0,259.0,0.042857144329998945,3709
INFINITI,Q60S RED SPORT AWD,SUBCOMPACT,3.0,6,AS7,Z,12.5,9.2,11.0,26.0,259.0,0.04247104247104247,3850
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6,A9,X,12.8,9.0,11.1,25.0,259.0,0.042857144329998945,3888
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25.0,259.0,0.042857144329998945,3896
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25.0,259.0,0.042857144329998945,3910
KIA,SORENTO AWD,SUV - SMALL,2.0,4,AS6,X,12.3,9.4,11.0,26.0,259.0,0.04247104247104247,3948
MERCEDES-BENZ,E 400 4MATIC WAGON,STATION WAGON - MID-SIZE,3.0,6,A9,Z,12.4,9.3,11.0,26.0,259.0,0.04247104247104247,4077
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.6,9.0,11.0,26.0,259.0,0.04247104247104247,4373
CHRYSLER,PACIFICA,MINIVAN,3.6,6,A9,X,12.9,8.4,10.9,26.0,259.0,0.042084940612086,4642
FORD,F-150,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,12.3,9.4,11.0,26.0,259.0,0.04247104247104247,4719
INFINITI,Q60 AWD RED SPORT,SUBCOMPACT,3.0,6,AS7,Z,12.5,9.2,11.0,26.0,259.0,0.04247104247104247,4924
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,SUV - SMALL,3.2,6,A9,X,12.8,9.0,11.1,25.0,259.0,0.042857144329998945,4965
KIA,SORENTO AWD,SUV - SMALL,2.0,4,AS6,X,12.3,9.4,11.0,26.0,259.0,0.04247104247104247,5015
LEXUS,LS 500 AWD,MID-SIZE,3.4,6,AS10,Z,13.0,8.7,11.0,26.0,259.0,0.04247104247104247,5051
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,AV,X,12.4,9.2,11.0,26.0,259.0,0.04247104247104247,5244
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,12.9,8.7,11.0,26.0,259.0,0.04247104247104247,5605
CHRYSLER,Pacifica,MINIVAN,3.6,6,A9,X,12.9,8.4,10.9,26.0,259.0,0.042084940612086,5697
FORD,Edge AWD,SUV - SMALL,2.7,6,AS8,X,12.6,9.2,11.0,26.0,259.0,0.04247104247104247,5741
INFINITI,Q60 AWD Red Sport,SUBCOMPACT,3.0,6,AS7,Z,12.5,9.2,11.0,26.0,259.0,0.04247104247104247,5960
JEEP,Cherokee 4X4 Active Drive II,SUV - SMALL,3.2,6,A9,X,12.8,9.0,11.1,25.0,259.0,0.042857144329998945,6000
LINCOLN,Nautilus,SUV - SMALL,2.7,6,AS8,X,12.6,9.2,11.0,26.0,259.0,0.04247104247104247,6109
NISSAN,Pathfinder 4WD Platinum,SUV - SMALL,3.5,6,AV,X,12.4,9.2,11.0,26.0,259.0,0.04247104247104247,6288
CADILLAC,CT6 AWD,FULL-SIZE,3.6,6,AS10,X,12.9,8.7,11.0,26.0,259.0,0.04247104247104247,6665
INFINITI,Q60 AWD Red Sport,SUBCOMPACT,3.0,6,AS7,Z,12.5,9.2,11.0,26.0,259.0,0.04247104247104247,6975
JEEP,Cherokee 4X4 Active Drive II,SUV - SMALL,3.2,6,A9,X,12.8,9.0,11.1,25.0,259.0,0.042857144329998945,7009
JEEP,Wrangler 4X4 eTorque,SUV - SMALL,3.6,6,A8,X,12.0,9.8,11.0,26.0,259.0,0.04247104247104247,7029
TOYOTA,Sienna,MINIVAN,3.5,6,AS8,X,12.6,9.1,11.0,26.0,259.0,0.04247104247104247,7350
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18.0,370.0,0.04351351454451277,133
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,18.4,13.3,16.1,18.0,370.0,0.04351351454451277,1974
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18.0,370.0,0.04351351454451277,2059
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18.0,370.0,0.04351351454451277,2060
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8,A8,Z,18.5,12.6,15.8,18.0,370.0,0.04270270321820233,2815
BENTLEY,BENTAYGA,SUV - STANDARD,6.0,12,AS8,Z,18.8,12.2,15.9,18.0,370.0,0.04297297194197371,3369
BENTLEY,BENTAYGA,SUV - STANDARD,6.0,12,AS8,Z,18.8,12.2,15.9,18.0,370.0,0.04297297194197371,4435
LAMBORGHINI,Huracan Coupe AWD,TWO-SEATER,5.2,10,AM7,Z,17.9,13.0,15.7,18.0,370.0,0.0424324319169328,6049
LAMBORGHINI,Huracan Spyder AWD,TWO-SEATER,5.2,10,AM7,Z,17.9,13.0,15.7,18.0,370.0,0.0424324319169328,6051
LAMBORGHINI,Huracan Performante Coupe,TWO-SEATER,5.2,10,AM7,Z,17.9,13.0,15.7,18.0,370.0,0.0424324319169328,6052
LAMBORGHINI,Huracan Performante Spyder,TWO-SEATER,5.2,10,AM7,Z,17.9,13.0,15.7,18.0,370.0,0.0424324319169328,6053
MERCEDES-BENZ,AMG GLE 63 S 4MATIC,SUV - STANDARD,4.7,8,A7,Z,17.7,13.4,15.8,18.0,370.0,0.04270270321820233,6176
MERCEDES-BENZ,AMG GLS 63 4MATIC,SUV - STANDARD,4.7,8,A7,Z,17.8,13.2,15.7,18.0,370.0,0.0424324319169328,6178
LAMBORGHINI,Huracan Coupe,TWO-SEATER,5.2,10,AM7,Z,18.0,12.9,15.7,18.0,370.0,0.0424324319169328,7061
LAMBORGHINI,Huracan Coupe AWD,TWO-SEATER,5.2,10,AM7,Z,18.0,12.9,15.7,18.0,370.0,0.0424324319169328,7062
LAMBORGHINI,Huracan Spyder,TWO-SEATER,5.2,10,AM7,Z,18.0,12.9,15.7,18.0,370.0,0.0424324319169328,7063
LAMBORGHINI,Huracan Spyder AWD,TWO-SEATER,5.2,10,AM7,Z,18.0,12.9,15.7,18.0,370.0,0.0424324319169328,7064
MERCEDES-BENZ,AMG GL 63 S,SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17.0,369.0,0.04417343966683075,2973
MERCEDES-BENZ,AMG GLS 63,SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17.0,369.0,0.04417343966683075,4057
FORD,E150 WAGON FFV,VAN - PASSENGER,4.6,8,A4,E,25.5,20.0,23.0,12.0,368.0,0.0625,349
FORD,EXPEDITION 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16.0,18.0,368.0,0.043478260869565216,362
LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16.0,18.0,368.0,0.043478260869565216,691
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,A8,Z,19.1,12.3,16.0,18.0,368.0,0.043478260869565216,928
